,id,name,picture_url,host_id,host_since,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_90,review_scores_rating,calculated_host_listings_count,reviews_per_month,Hotel room,Private room,Shared room,host_since_interval,5 to 10,less than 5,Lprice,bathrooms_cislo,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighborhood_overview_1,host_location_1,host_about_1,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,has_availability_t,instant_bookable_t,price_range
0,23163,Rental unit in Prague · ★4.90 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/01bbe32c-3f13-4b58-b4bc-7b7996349f04.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08229,14.41552,Entire home/apt,4, bath,2.0,3619.0,1,365,0,4.9,74,0.18,False,False,False, more than 10,False,False,8.193953023563742,1.0,False,False,True,False,True,True,True,True,True,True,True,>3000
1,23169,Rental unit in Prague · ★4.73 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/b450cf2a-8561-4e6a-abb1-e5a2294cda3b.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.0883,14.42272,Entire home/apt,3, bath,2.0,2942.0,1,365,20,4.73,74,0.69,False,False,False, more than 10,False,False,7.9868449011613825,1.0,False,False,True,False,True,True,True,True,True,True,True,2500-3000
2,26755,Rental unit in Prague · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,https://a0.muscache.com/pictures/miso/Hosting-26755/original/11fdea37-69fe-45a2-8199-425267af8f75.jpeg,113902,2010-04-26,100.0,100.0,Praha 1,50.08729,14.43179,Entire home/apt,4, baths,2.0,3328.0,3,700,47,4.94,3,3.28,False,False,False, more than 10,False,False,8.1101268019411,1.5,False,False,True,True,True,True,True,True,True,True,False,>3000
3,30762,Serviced apartment in Prague · ★4.75 · 2 bedrooms · 3 beds · 1 bath,https://a0.muscache.com/pictures/dfbb2fc2-91a0-4bc9-8ddc-a6f7a56a8ffa.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08821,14.42623,Entire home/apt,6, bath,3.0,6061.0,1,365,23,4.75,74,0.1,False,False,False, more than 10,False,False,8.709630081951286,1.0,False,False,True,False,True,True,True,True,True,True,True,>3000
9,75298,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/c8bd9002-c52e-4c91-9bf5-7e68f33a51a0.jpg,398991,2011-02-19,100.0,100.0,Praha 1,50.092285,14.4329,Entire home/apt,2, bath,1.0,2063.0,3,30,72,4.74,2,0.38,False,False,False, more than 10,False,False,7.631916513071252,1.0,False,False,True,False,True,True,True,True,True,True,False,2000-2500
10,76254,Tiny home in Prague · ★4.53 · 1 bedroom · 2 beds · 1.5 baths,https://a0.muscache.com/pictures/742269/2490a253_original.jpg,406700,2011-02-23,100.0,91.0,Praha 2,50.06996,14.43516,Entire home/apt,3, baths,2.0,1002.0,2,21,5,4.53,1,1.07,False,False,False, more than 10,False,False,6.90975328164481,1.5,False,False,True,True,True,True,False,True,True,True,True,1000-1500
11,79373,Rental unit in Prague · ★4.67 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/00499692-30ea-457f-90e4-927306d817fa.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08844,14.42424,Entire home/apt,4, bath,2.0,2942.0,1,365,23,4.67,74,0.32,False,False,False, more than 10,False,False,7.9868449011613825,1.0,False,False,True,False,True,True,True,True,True,True,True,2500-3000
12,79381,Rental unit in Prague · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,https://a0.muscache.com/pictures/miso/Hosting-79381/original/c7eebd63-7044-4c79-acbd-babaf4c3048b.jpeg,5282,2008-12-17,100.0,100.0,Praha 1,50.08943,14.42373,Entire home/apt,4, baths,1.0,2942.0,1,365,26,4.88,74,0.11,False,False,False, more than 10,False,False,7.9868449011613825,1.5,False,False,True,False,True,True,True,True,True,True,True,2500-3000
13,79387,Rental unit in Prague · ★4.81 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/b944ef19-92c2-4376-9c9f-a3bc614e4524.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08943,14.42373,Entire home/apt,4, bath,2.0,2942.0,1,365,9,4.81,74,0.17,False,False,False, more than 10,False,False,7.9868449011613825,1.0,False,False,True,False,True,True,True,True,True,True,True,2500-3000
14,79711,Rental unit in Prague · ★4.61 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/a21dd56e-cb48-4c04-abf1-4cc6a207e8a1.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08051,14.41487,Entire home/apt,4, bath,2.0,3203.0,1,365,25,4.61,74,0.13,False,False,False, more than 10,False,False,8.071843149609158,1.0,False,False,True,False,True,True,True,True,True,True,True,>3000
